,Number,Name,Prov.Desig,Taxon,a,e,i,H,nu6,5/2,2/1,HUN,3/1,PHO,JFC
1186,-999999,,2005WS3,S,0.671558932761472,0.5755358707614292,23.06621536609988,21.22,1.4531437053625944,0.0,1.4282129580456717,0.3614962331344954,0.46279007594545246,0.06396021430274329,0.0
1187,209924,,2005WS55,C,2.029665447502369,0.4534100459724271,23.76907901844184,16.27,0.21273830816190697,1.3163880260314655,0.022323248762270227,1.9363459255588114,1.2706726825917596,11.206550224311641,0.0
1188,202435,,2005XH8,V,1.322511295412172,0.6914591450014851,29.064147713489326,18.04,1.2972346026170345,0.13455965001862966,0.0,0.8821225175525246,0.694921123581209,0.8077604529313589,0.0
1189,377732,,2005XJ8,S,1.930263752584978,0.6214863201779194,23.57768973279732,17.08,0.5001071316315642,1.5014493508292492,0.7794138557209669,1.3978979190288423,1.590996888110635,5.1420408907050525,0.010643202454499522
1190,-999999,,2005YP55,S,2.2847688955466974,0.4361267598316317,6.9475844470121775,19.2,1.641736350534361,0.0636566364214064,0.0,0.006221784642629881,0.13158572758177986,0.002101978873799075,0.006549663048922784
1191,417217,,2005YS,C,0.7110554267882366,0.5503006323116726,19.592047949898586,19.6,1.3384054046407536,0.0,2.6460174224384563,0.3378745422879006,0.7033692344959926,0.27445838437890785,0.0
1192,308635,,2005YU55,C,1.1569927825093491,0.4304843232476681,0.3401861653868933,21.63,1.5155242197403362,0.0861761470293295,0.0,0.3014929202250649,0.4124214146580688,0.03182996580324314,0.0
1193,613291,,2005YX128,C,2.1749164581645917,0.734795789325104,4.475290895470491,19.03,1.434110646066383,0.3440356917626272,0.057470491494355264,0.1058757929017017,0.6787929118348042,0.021019788737990753,0.09824494573384174
1194,526238,,2005YY36,P,1.8928790234240955,0.3954187921257592,4.605146164262468,19.51,1.481760787424983,0.002006689064072356,0.0,0.44796849426935137,0.5004865708606608,0.029127421536930043,0.0
1195,361071,,2006AO4,S,2.624379037891756,0.5859559976305064,24.382428910727512,15.4,0.005956267669824966,4.467112822076627,0.21040849365288747,0.00885813406747305,3.6473438857772633,0.3666451721298101,0.6885333280180077
1196,190208,,2006AQ,C,2.052713331115743,0.4862984830104712,4.0872669833207205,18.2,1.5807900649156423,0.08483835431994793,0.004749627396227708,0.26279131066836714,0.19334653843606858,0.009008480887710321,0.0
1197,207398,,2006AS2,C,2.093202698678243,0.6396899062625332,2.5933252613817284,20.38,1.4741340650828842,0.07001115179096885,0.015673770407551437,0.10334489745385225,0.7015772109686143,0.006906502013911247,0.00818707881115348
1198,417264,,2006AT2,C,2.7025551978253075,0.6031833124130023,21.14564083449988,17.16,0.010613292816770262,8.965106359194813,0.7604153461360561,0.016872636318996288,0.6910170723251349,0.2993818481682397,4.420203850141764
1199,221455,,2006BC10,S,2.0146114423964847,0.6579682354514217,0.9277914351287982,19.39,1.4728685691190404,0.16911929501098688,0.0,0.10998849800445704,0.6446164631340889,0.01141074245776641,0.03274831524461392
1200,255501,,2006BG,C,1.6825057120787386,0.7317806743169181,4.817342978129951,18.71,1.422265603844805,0.7268673720973199,0.6478491768454594,0.1719954364767684,0.37830896679761716,0.057954560377603076,0.07368370930038132
1201,-999999,,2006BN55,S,1.8711161707527921,0.554038817460478,18.689938894871,19.82,1.090739407876757,0.8735786392261655,0.9447008891096912,0.4827683066772812,1.1846555532775997,0.7338909096521342,0.0
1202,277616,,2006BN6,P,2.5658833796647187,0.6981657675096985,18.631387385286875,17.38,0.09546901551237862,3.795875330144425,0.5561813680982646,0.04028341921160363,3.2225063081080734,1.3909094490624738,3.0767042172314776
1203,311554,,2006BQ147,S,0.8199726988765963,0.4222361374215252,24.380641611485416,18.73,1.2646691731474533,0.2848383643724927,3.496675689102839,0.6309311443534674,0.3972532155156166,0.8834316923881257,0.0
1204,265962,,2006CG,C,1.8295268240627367,0.3361709347019037,4.3513614406859915,19.03,1.4623733892588955,0.0,0.0,0.6717418334500397,0.4421818053806017,0.01591498290162157,0.0
1205,248590,,2006CS,P,2.9141555947446784,0.6973969319086946,52.313432432510034,16.42,0.022762054069671044,2.24693433813213,6.402972692854574,0.1563882478816968,1.0055172013800309,0.7185764921430268,37.19226162330803
1206,-999999,,2006CT,V,1.0966706652439102,0.2306854486650081,2.7415538193953304,22.28,1.3992673238618831,0.0,0.4079929933359601,0.7296360668195956,0.592839783360908,0.009008480887710321,0.0
